Student_ID,Gender,Age,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,Department_CS,Department_Engineering,Department_Mathematics
S1069,1,24,88.11,98.07,83.2,83.52,76.11,49.6,67.67,78.4305,2,25.9,0,1,0,0,6,6.1,0,0,1
S1070,1,21,93.82,46.89,51.54,82.25,50.97,76.8,70.97,62.484,3,15.6,0,1,0,1,9,5.9,1,0,0
S1071,0,23,92.61,74.84,89.31,61.08,86.43,70.1,67.39,75.0805,2,26.3,1,1,3,2,8,8.7,0,1,0
S1072,0,21,98.24,81.52,59.57,57.18,74.4,25.1,57.31,61.5855,3,11.9,0,1,3,1,1,5.9,0,0,0
S1073,1,21,79.07,93.41,66.64,98.93,72.95,78.4,53.42,72.752,2,16.8,1,0,2,0,8,4.4,0,0,1
S1074,0,22,95.43,92.45,86.34,52.26,59.81,84.7,66.09,73.3345,2,12,0,1,2,0,5,5.5,1,0,0
S1075,0,18,90.43,98.68,77.52,73.39,68.06,59.8,72.93,76.8655,2,10.4,0,0,1,1,2,8.4,0,0,0
S1076,0,21,94.73,70.72,58.48,71.25,59.09,92.8,68.09,66.8915,3,15.5,0,1,2,0,7,4.5,0,0,1
S1077,1,20,50.58,89.85,63.17,68,86.77,78.3,50.7,67.272,3,13.4,1,1,2,0,2,7.6,0,0,0
S1078,1,23,98.3,65.64,58.35,89.1,59.95,59.5,78.95,70.4535,2,24.7,1,0,0,1,4,5.3,0,0,0
S1079,1,24,73.68,65.34,75.69,87.27,80.84,90.6,57.24,71.6,2,23.7,1,1,0,1,4,7.7,0,1,0
S1080,0,22,89.91,55.2,59.96,95.26,63.98,60,60.55,65.122,3,14,0,1,0,2,5,6.6,0,0,0
S1081,0,23,56.36,89.09,83.54,69.77,82.85,52.1,56.04,72.416,2,29.8,0,0,2,2,6,7.2,0,0,1
S1082,1,20,69.8,99.15,74.79,78.21,77.02,35.6,76.02,77.5895,2,29.3,1,1,2,1,2,5.2,0,0,0
S1083,1,20,63.57,55.38,48.74,94.62,71.17,88.3,54.76,62.645,3,27.9,1,1,3,2,8,4.8,0,0,1
S1084,0,21,64.58,43.37,58.62,99.69,83.65,12.3,62.82,63.94,3,19.7,1,1,0,0,9,4.3,0,0,0
S1085,0,20,56.16,88.93,53.29,98.46,70.79,47.4,72.59,72.657,2,15.3,0,0,3,2,3,8.1,1,0,0
S1086,1,18,90.29,77.21,63.42,85.89,91.07,53.7,58.39,69.629,3,12.8,0,0,2,2,7,7.6,0,1,0
S1087,0,20,50.46,97.58,70.96,57.16,86.48,55.5,72.31,74.067,2,5.4,0,1,0,0,4,5.5,1,0,0
S1088,0,21,65.63,55.13,70.41,51.16,77.03,65.2,67.14,64.651,3,20.8,0,1,2,1,10,8.2,0,1,0
S1089,0,23,58.72,44.26,85.27,91.26,93.85,50.6,93.03,81.4695,1,18.8,1,1,1,0,4,8.2,0,0,1
S1090,0,20,79.45,69.55,51.35,92.05,91.44,25.7,89.75,74.4315,2,20.7,0,1,3,2,1,4.7,0,1,0
S1091,0,22,62.71,45.13,96.79,87.32,76.59,85.7,99.64,85.901,1,19.4,1,0,0,0,5,7.6,0,0,0
S1092,0,24,62.95,55.71,60.57,64,53.42,65.8,76.45,64.666,3,8.4,0,0,0,1,6,5.5,0,0,0
S1093,0,22,74.42,47.56,58.01,81.99,78.3,85.8,78.77,69.686,3,22.4,1,0,2,2,5,6.3,1,0,0
S1094,1,22,82.63,53.45,81.11,65.81,67.76,27.6,97.33,75.5215,2,14,1,1,2,1,6,6.2,0,1,0
S1095,1,23,56.07,46.37,88.33,72.53,77.01,63.7,69.98,71.7975,2,17.9,0,0,0,1,3,7,0,0,1
S1096,0,19,58.78,97.23,62.71,69.12,82.36,71.4,77.78,75.77,2,14.1,0,0,0,0,2,5.7,0,0,1
S1097,0,24,62.36,56.71,84.81,95.68,82.24,38.3,68.95,74.885,2,5.5,0,1,3,1,5,4.4,0,0,0
S1098,0,22,98.69,66.63,93.02,61.71,83.68,81.2,77.29,78.121,2,26.9,0,0,0,0,6,7.4,0,0,1
S1099,1,22,69.86,93.92,86.01,78.88,83.96,0.3,54.04,72.0455,2,8.7,1,1,2,0,10,8.8,0,0,0
S1100,1,19,79.95,80.64,42.05,68.05,55.46,59.5,89.19,68.094,3,19.6,0,1,3,2,6,7.3,0,0,0
S1101,0,23,62.08,77.08,89.64,83.15,59.59,61.4,99.26,85.2515,1,27.1,0,1,0,1,5,6.7,0,0,0
S1102,1,24,74.52,82.33,86.47,78.23,81.53,53.4,53.29,72.5115,2,10.5,0,0,2,1,2,4.8,1,0,0
S1103,0,22,53.71,89.73,80.16,96.2,70.41,63,90.05,85.1355,1,15.3,0,0,0,1,1,7.1,1,0,0
S1104,0,21,51.74,92.66,85.6,55.08,88.14,16.7,62.09,71.837,2,14.4,0,1,0,1,10,7.1,0,0,0
S1105,0,23,73.44,78.56,98.77,61.03,56.25,68.5,59.88,72.645,2,7.2,0,0,2,1,6,7.1,0,0,0
S1106,0,24,69.93,93.4,65.87,88.32,59.58,33.6,84.67,76.7645,2,15.6,1,0,3,0,1,8.5,0,0,0
S1107,0,22,56.84,72.12,44.03,68.44,77.92,45.2,52.21,57.8065,4,17,1,1,3,2,1,7.6,0,0,1
S1108,0,22,84.38,56.64,67.65,58.29,75.04,33.3,73.16,65.269,3,5.7,1,0,1,2,6,7.9,0,0,0
S1109,0,19,99.65,92.8,42.79,75.17,63.32,47.4,50.07,59.616,4,17.2,0,0,0,1,1,5.6,0,0,0
S1110,1,24,69.78,72.49,57.66,82.61,70.42,62.2,77.72,71.148,2,7.3,1,1,3,0,2,5.4,0,1,0
S1111,0,21,81.23,94.37,75.21,52.24,51.75,83.8,73.1,72.089,2,27.3,0,1,0,0,1,5,0,1,0
S1112,1,23,98.15,42.41,58.58,64.58,51.85,48.3,95.77,67.0245,3,21.3,1,0,3,1,7,7.9,0,1,0
S1113,0,20,91.58,63.85,81.12,90.47,54.75,32.3,86.01,76.321,2,6.4,1,1,0,2,4,7.5,0,1,0
S1114,0,18,73.18,96.87,89.32,76.01,78.84,48.8,56.3,75.476,2,25.7,0,1,0,1,4,5.7,0,0,0
S1115,1,21,86.87,54.98,65.23,51.77,93.19,68.9,67.73,65.403,3,14,1,1,0,0,4,4.7,0,1,0
S1116,1,20,56.41,96.49,94.01,64.1,63.01,34.7,96.58,84.601,1,10.6,0,0,1,1,5,8.2,0,0,1
S1117,0,21,75.61,97.23,44.79,81.96,51.7,41.4,86.27,71.197,2,11.3,0,1,0,1,9,5.9,0,0,1
S1118,1,24,63.95,92.93,90.41,59.97,85.43,56.3,79.71,80.8085,1,19.9,1,1,0,1,5,4.9,0,1,0
S1119,0,20,58.06,73.82,89.71,91.37,92.77,29.4,77.95,81.338,1,7,1,0,0,0,10,4.7,1,0,0
S1120,0,24,71.31,78.82,59.32,83.83,56.91,20.9,69.9,66.9335,3,6.5,1,0,0,2,2,8.6,0,0,1
S1121,1,20,56.55,92.18,57.92,73.57,69.29,14,79.26,70.7495,2,20.7,1,0,0,1,8,4.7,0,0,1
S1122,1,21,84.95,86.55,58.31,95.78,57.94,35.3,88.58,76.06,2,29.5,1,0,3,2,8,5.8,0,1,0
S1123,1,19,72.81,77.81,88.68,69.59,55.32,4.8,56.38,66.966,3,17.1,0,1,2,2,9,7.2,0,1,0
S1124,1,21,76.56,98.94,89.9,61.75,82.41,58.3,98.49,87.2815,1,15.3,1,0,0,0,4,6,0,0,0
S1125,0,24,57.32,81.14,59.78,83.07,98.38,17.6,61.97,68.8855,3,28.7,0,1,0,1,3,6.4,0,0,1
S1126,1,21,56.99,98.53,75.56,78.66,83.91,37.7,72.39,77.4615,2,11,0,1,2,1,10,8,0,1,0
S1127,1,20,79.17,43.44,48.34,66.76,99.24,26.9,51.14,55.226,4,11,0,0,3,2,6,9,0,1,0
S1128,1,18,99.25,48.34,68.13,67.18,71.72,63,77.52,67.9385,3,27.6,1,0,1,2,1,6.3,0,0,0
S1129,1,20,54.81,67.09,99.93,69.91,94.89,85,69.09,79.9985,2,21.2,1,0,0,2,6,5.9,0,0,1
S1130,1,22,64.29,63.09,49.53,64.56,60.25,63.3,62.49,59.467,4,6.3,1,1,0,0,5,6,0,1,0
S1131,0,21,93.47,86.96,96.85,85.51,55.9,54.3,99.28,88.172,1,21.8,0,1,3,0,1,5.8,0,0,0
S1132,0,23,53.61,49.64,89.46,82.57,85.13,66.9,71.41,75.4775,2,25.5,1,0,0,2,6,6.4,0,1,0
S1133,1,21,93.79,98.57,98.33,72.04,68.57,3,70.71,78.394,2,11.8,1,1,0,0,3,5.7,1,0,0
S1134,1,19,76.21,58.9,50.77,69.89,65.88,12.3,73.16,61.162,3,14.6,1,1,2,0,8,6.3,1,0,0
S1135,0,24,70.41,65.74,52.81,68.25,83.56,9.5,55.81,58.875,4,9.9,0,0,2,0,3,8.7,0,1,0
S1136,1,23,65.48,56.48,41.01,64.17,66.67,9.8,69.65,56.402,4,20.8,0,0,0,1,3,5.4,0,0,1
S1137,0,20,64.86,74.76,83.48,54.28,78.63,26,66.82,69.435,3,21.6,1,0,1,0,7,7.3,1,0,0
S1138,0,19,65.29,43.52,78.65,63.41,64.97,53.2,73.26,66.837,3,6.7,1,0,0,2,1,6.4,0,0,0
S1139,1,21,94.24,48.98,50.68,66.06,89.19,11.5,92.83,67.269,3,21.9,1,1,1,1,10,7.7,0,1,0
S1140,0,20,86.19,84.75,87.47,77.38,65.62,93.5,59.64,75.316,2,21.5,0,0,3,2,10,6.4,0,0,0
S1141,1,20,83.49,51.19,57.95,88.69,76.75,85.4,80.39,71.5315,2,5.9,1,0,1,0,8,4.8,1,0,0
S1142,1,22,89.94,54.13,48.1,69.79,51.16,97.2,51.88,56.153,4,18.9,0,1,3,2,4,8.4,0,0,1
S1143,0,22,62.86,87.58,65.35,97.24,89.59,4.3,65.84,72.9865,2,20.3,0,0,0,2,5,7.4,0,0,0
S1144,0,18,80.9,45.6,45.46,91.37,81.02,85.1,73.63,66.3565,3,15.8,0,1,0,0,5,6.6,1,0,0
S1145,1,22,73,66.25,55.79,99.24,59.61,80.4,53.71,64.865,3,27.5,0,1,2,2,4,8.2,1,0,0
S1146,0,24,89.12,41.38,62.28,93.81,60.77,90.2,77.2,69.5955,3,13.2,0,1,0,0,1,8.9,1,0,0
S1147,1,23,65.46,60.81,91.11,80.84,63.12,52.8,65.52,72.633,2,6.7,0,1,2,0,3,6,0,0,0
S1148,0,20,82.16,81.94,87.55,79.92,78.83,78.8,99.64,87.8815,1,21.8,1,0,1,0,8,5.8,1,0,0
S1149,0,22,94.11,45.41,66.57,56.48,77.42,5.1,81.55,64.388,3,20.1,0,1,0,2,2,7.8,0,1,0
S1150,1,18,70.11,93.3,83.47,86.12,63.69,7.6,62.21,73.1925,2,29.7,0,0,0,2,8,6.3,1,0,0
S1151,1,21,53.33,94.57,74.12,80.01,84.7,11.9,55.13,70.321,2,10.8,0,1,0,2,4,4.4,0,1,0
S1152,1,23,75.8,46.3,60.45,75.35,94.45,91.5,52.04,62.992,3,14.9,1,1,0,1,9,5.8,0,0,1
S1153,0,22,67.3,99.44,83.55,84.66,52.18,6.1,54.54,70.3875,2,16.5,0,0,3,2,8,8,0,1,0
S1154,1,20,83.61,57.85,81.01,72.2,70.86,10,84,72.546,2,26.5,0,1,1,0,8,7.5,0,0,1
S1155,1,21,97.55,45.05,77.15,76.19,79.68,93,92.75,77.9165,2,15.4,0,0,0,0,4,8.3,0,0,1
S1156,0,24,74.28,40.3,77.08,69.92,79.32,10.7,57.84,61.622,3,24.3,0,1,0,1,2,4.7,0,1,0
S1157,0,20,73.31,64.51,80.98,85.87,50.98,87,70.11,73.283,2,8.9,1,1,3,1,8,5.2,0,0,1
S1158,1,21,82.73,77.79,63.07,93.83,60.53,78.9,67.71,71.8215,2,15.2,0,1,2,1,7,5.1,0,1,0
S1159,1,24,55.17,59.93,92.14,92.04,53.09,4,82.23,76.0085,2,8.9,0,1,2,1,2,8.9,0,0,0
S1160,1,24,62.68,90.2,49.74,89.3,78.45,2.2,59.13,65.054,3,28.7,0,0,0,2,7,4.8,0,0,1
S1161,1,23,95.95,83,93.03,50.69,82.27,53.4,97.67,83.509,1,9.4,1,0,0,2,1,7,0,1,0
S1162,0,20,83.5,61.01,60.54,95.59,57.99,99.7,86.43,75.338,2,15.5,1,1,3,0,6,7.2,0,0,1
S1163,0,22,50.67,84.06,47.5,63.74,66.65,87.9,97.75,74.43,2,7.1,0,0,3,2,7,7.1,1,0,0
S1164,1,22,60.23,96.43,76,94.4,66.49,31,63.87,74.9845,2,28,1,0,2,1,2,7.5,0,1,0
S1165,1,18,84.14,45.59,62.56,59.85,90.99,38.6,79.39,66.302,3,20.6,1,1,3,1,2,6.4,1,0,0
S1166,1,21,88.22,58.37,88.93,71.98,59.73,38.8,86.61,75.681,2,29.1,0,0,2,1,8,4.4,0,0,1
S1167,0,18,91.99,67.8,65.85,87.47,77.42,73.4,85.55,76.83,2,6.1,0,1,2,1,2,7.5,0,0,1
S1168,1,19,64.61,69.88,80.11,82.01,89.15,34.1,51.07,68.752,3,9.4,0,0,0,2,10,5.4,0,0,0
S1169,1,22,96.55,72.53,58.5,70.8,91.48,14.8,99.91,75.9855,2,14.5,1,1,1,0,2,4.4,0,1,0
S1170,0,21,77.65,58.04,52.57,83.93,83.33,74.7,96.4,75.426,2,20.5,1,0,0,0,5,4.8,1,0,0
S1171,0,23,84.83,80.04,63.28,77.45,64.98,45.8,55.99,65.0285,3,13.2,1,1,1,2,4,5.4,0,0,0
S1172,1,18,79.84,78.71,76.41,63.79,91.15,7.7,77.18,73.1315,2,22.8,1,0,3,1,1,6.2,0,0,1
S1173,1,23,56.14,74.67,79.42,82.32,87.11,79,65.73,75.7835,2,9.1,0,0,1,2,8,8.3,0,0,1
S1174,0,23,98.16,46.83,74.69,60.21,85.22,58.5,93.94,74.3575,2,20,0,0,1,2,4,6.7,0,0,0
S1175,1,23,56.14,68.62,99.28,84.7,53.37,48.9,84.88,81.064,1,14.9,1,0,2,0,9,6.4,1,0,0
S1176,1,18,62.74,61.37,81.47,50.16,52.16,67.3,61.18,64.032,3,17.7,0,1,0,2,2,5,0,0,1
S1177,0,19,90.68,69.46,95.89,77.44,84.77,50.5,51.69,72.5165,2,19.2,0,0,3,1,2,8.8,0,0,1
S1178,0,24,80.93,95.31,47.08,70.05,97.24,64.8,64.59,68.915,3,6.5,0,1,0,2,6,8.5,0,1,0
S1179,0,24,91.91,68.83,43.68,65.16,88.69,86.7,51.91,59.7955,4,28.1,1,0,2,0,2,8.1,0,0,0
S1180,1,18,75.79,40.84,58.66,75.79,91.57,61.4,57.07,61.5075,3,24.7,0,0,0,0,2,5.6,0,0,1
S1181,0,24,68.85,66.33,48.2,82.27,77.25,66,81.81,69.908,3,16.1,0,0,0,0,6,6.8,1,0,0
S1182,0,20,96.09,89.24,71.55,98.27,65.23,61.4,87.25,81.782,1,18.7,1,0,1,2,6,5.9,0,1,0
S1183,1,24,51.81,86.8,71.14,91.65,83.89,53.1,73.4,77.6165,2,5.8,0,1,1,1,8,6,0,0,0
S1184,1,22,92.81,70.8,74.5,85.86,85.6,17.2,80.01,75.547,2,17.4,0,1,0,1,10,4.4,1,0,0
S1185,0,18,61.54,54.99,84.71,73.95,83.77,33.6,57.79,67.9125,3,15.7,1,0,3,1,1,4.7,0,0,1
S1186,0,24,92.44,67.91,98.28,69.61,97.34,69.3,65.84,78.149,2,14.4,0,0,2,0,1,8.8,0,0,0
S1187,1,18,56.96,73.82,92.7,51.63,68.36,42.5,85.64,76.6455,2,25.4,0,1,1,0,7,7.1,0,0,0
S1188,1,19,79.01,99.99,47.1,67.95,51.98,40.6,68.24,64.666,3,9.5,1,0,0,0,9,4,1,0,0
S1189,0,20,94.41,78.65,60.31,92.42,95.42,75.9,67.44,74.307,2,9.4,0,0,2,1,7,8,0,0,0
S1190,0,18,73.68,81.66,55.35,69.2,58.02,0.6,59.7,60.2085,3,18,0,0,2,0,4,4.4,1,0,0
S1191,1,22,87.33,69.49,50.61,73.08,84.87,67.9,79.74,69.842,3,22.2,1,1,0,0,9,7.5,0,0,1
S1192,0,24,90.23,61.27,72.68,63.59,93.66,48.9,90.48,75.854,2,5.6,1,1,1,2,6,7.1,0,1,0
S1193,1,22,86.82,88.78,73.2,63.71,65.51,37.7,73.47,71.6505,2,18.6,1,1,3,0,10,4.3,1,0,0
S1194,0,24,96.27,69.7,53.63,53.09,91.52,34.1,55.78,59.417,4,12.5,1,0,1,0,1,6.7,0,1,0
S1195,1,18,72.34,99.68,82.71,80.69,66.6,17.3,91.92,82.834,1,23.9,1,1,1,1,6,4.2,0,0,0
S1196,1,23,58.66,67.43,83.97,72.4,89.71,33.4,53.57,68.679,3,16.7,1,0,1,1,10,4.3,1,0,0
S1197,0,24,52.39,44.08,41.26,80.3,53.49,39.1,73.59,58.353,4,25.9,1,1,1,2,6,4.3,0,0,1
S1198,0,23,62.32,80.95,63.75,77.34,82.76,43.7,63.05,69.057,3,14.9,1,1,0,1,1,5.3,1,0,0
S1199,1,20,57.16,42.8,93.41,89.94,83.86,67.2,96.82,84.0555,1,25.7,0,0,0,1,8,8,1,0,0
S1200,0,22,77.9,55.03,71.22,87.55,74.57,45.4,86.88,74.983,2,22.9,1,0,3,0,5,5.8,1,0,0
S1201,0,23,59.25,61.22,60.86,88.57,84.35,79.6,78.32,73.5945,2,25.7,1,1,3,2,4,7.2,0,1,0
S1202,0,22,51.95,84.37,55.22,74.96,96.16,64,83.39,75.5375,2,25.3,0,1,0,0,10,4.6,0,1,0
S1203,1,24,51.8,69.65,54.6,67.69,86.69,19,76.64,66.862,3,17.2,1,1,3,0,1,8.7,0,0,0
S1204,0,24,91.58,41.72,45.99,96.67,98.06,27.7,57.38,60.661,3,14.2,1,1,0,2,5,6.5,0,0,0
S1205,0,20,79.57,77.01,89.03,52.71,72.43,7.9,85.45,74.9885,2,24.1,1,0,0,1,1,4.1,0,0,0
S1206,1,24,67.9,64.69,45.2,57.63,76.41,94.6,74.63,64.408,3,14,1,0,3,2,3,6.7,0,0,0
